ISA,Benchmark,metadata Cache Size,memory policy,simSize,L3 size,Encryption,Hashing,numCycles,ipc,Commit Inst,board.memory.metadata_cache.overallHits::total,board.memory.secure_memory.metadata_misses,board.memory.secure_memory.metadata_requests,board.memory.secure_memory.metadata_missRate,board.cache_hierarchy.l2-cache-0.overallHits::total,board.cache_hierarchy.l2cache.overallMisses::total,board.cache_hierarchy.l2-cache-0.overallAccesses::total,board.cache_hierarchy.l2cache.overallMissRate::total
,,,,,,,,,,,,,,,,,,
X86,Blackscholes,64KiB,No Security,simlarge,none,no,no,193462276,2.808933,543422600,0.9876208396,0,0,0,0,57936,2922481,2980417
X86,Blackscholes,64KiB,Integrity tree,simlarge,none,yes,yes,195776831,2.775466,543427097,0.9994365941,9517378,717287,0.07008407212,0.9299159279,54975,2928386,2983361
X86,Blackscholes,64KiB,MCX - never,simlarge,256K,yes,yes,195887195,2.787352,543161353,1,9454727,780128,0.07622267243,0.9237773276,69405,2919092,2988497
X86,Fluidanimate,64KiB,No Security,simlarge,none,no,no,1365254907,1.703674,2325948968,0.8515880488,0,0,0,0,2924657,16253311,19177968
X86,Fluidanimate,64KiB,Integrity Tree,simlarge,none,yes,yes,1445472396,1.515272,2190283582,0.9016243127,80758862,21605728,0.2110664244,0.7889335756,3042964,16110597,19153561
X86,Fluidanimate,64KiB,MCX – never,simlarge,256K,yes,yes,3624142893,0.804505,2915641019,0.7817193217,0,0,0,0,57916218,70778730,128694948
X86,Bodytrack,64KiB,No Security,simlarge,none,no,no,4636117840,0.624911,3131998541,1,143638573,38993422,0.2135081643,0.7864918357,55901733,73898253,129799986
X86,Bodytrack,64KiB,Integrity Tree,simlarge,none,yes,yes,2326606652,1.380053,3210839555,0.5018437262,30946246,4341433,0.1230297124,0.8769702876,63358616,62816906,126175522
X86,Bodytrack,64KiB,MCX - never,simlarge,257K,yes,yes,2796665930,0.159653,446496945,0.4027224723,0,0,0,0,3789052,42618021,46407073
X86,Canneal,64KiB,No Security,simlarge,none,no,no,6830848834,0.065802,446988445,0.9836485299,197807330,160809405,0.4484157857,0.5515842143,3933281,43416627,47349908
X86,Canneal,64KiB,Integrity Tree,simlarge,none,yes,yes,6944399983,0.064671,449102055,1,195741667,157757784,0.4462744809,0.5537255191,3921013,43578803,47499816
X86,Canneal,64KiB,MCX - never,simlarge,257K,yes,yes,,,,,,,,,,,
